ConstraintId,EvidenceType,Candidate,Constraint,Evidence,AllowedInterpretations,DisallowedShortcut
T-920,TitleOrClassifierMarker,920,Any reading of 920 must explain its leading_formula_marker distribution.,count=153; start_pct=0.582; end_pct=0.065; score=0.794,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-140,TitleOrClassifierMarker,140,Any reading of 140 must explain its leading_formula_marker distribution.,count=110; start_pct=0.473; end_pct=0.145; score=0.791,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-527,TitleOrClassifierMarker,527,Any reading of 527 must explain its terminal_title_or_suffix distribution.,count=63; start_pct=0.048; end_pct=0.825; score=0.790,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-156,TitleOrClassifierMarker,156,Any reading of 156 must explain its terminal_title_or_suffix distribution.,count=107; start_pct=0.112; end_pct=0.804; score=0.784,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-400,TitleOrClassifierMarker,400,Any reading of 400 must explain its terminal_title_or_suffix distribution.,count=502; start_pct=0.048; end_pct=0.912; score=0.782,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
T-806,TitleOrClassifierMarker,806,Any reading of 806 must explain its leading_formula_marker distribution.,count=135; start_pct=0.481; end_pct=0.067; score=0.781,title; classifier; suffix/prefix; office/status marker; object/commodity class; formula boundary,Do not read it as an ordinary phonetic sign unless the positional skew is explained.
S-002_740,ProductiveSlot,002 _ 740,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=345; distinct_fillers=247; score=0.957,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-060_<END>,ProductiveSlot,060 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=193; distinct_fillers=176; score=0.949,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-<START>_390,ProductiveSlot,<START> _ 390,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=236; distinct_fillers=163; score=0.941,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-002_<END>,ProductiveSlot,002 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=705; distinct_fillers=508; score=0.937,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-741_<END>,ProductiveSlot,741 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=198; distinct_fillers=163; score=0.936,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-060_740,ProductiveSlot,060 _ 740,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=101; distinct_fillers=85; score=0.928,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-001_<END>,ProductiveSlot,001 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=177; distinct_fillers=131; score=0.926,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-820_<END>,ProductiveSlot,820 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=170; distinct_fillers=147; score=0.924,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-820_740,ProductiveSlot,820 _ 740,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=74; distinct_fillers=72; score=0.923,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-235_<END>,ProductiveSlot,235 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=206; distinct_fillers=128; score=0.922,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-<START>_001,ProductiveSlot,<START> _ 001,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=184; distinct_fillers=136; score=0.918,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
S-233_<END>,ProductiveSlot,233 _ <END>,A future decipherment must explain why many different fillers occupy this same immediate frame.,count=174; distinct_fillers=105; score=0.917,personal-name slot; title/office slot; place/lineage slot; commodity/measure slot; productive grammatical frame,Do not translate the whole frame as one fixed word.
N-920-060-741,NameLikeBlock,920-060-741,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=38; sites=7; name_score=0.923; cross_site=0.924; formula_risk=0.640,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-820-060,NameLikeBlock,820-060,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=26; sites=5; name_score=0.934; cross_site=0.886; formula_risk=0.620,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-070-520,NameLikeBlock,070-520,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=13; sites=5; name_score=0.916; cross_site=0.880; formula_risk=0.572,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-002-004-390,NameLikeBlock,002-004-390,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=11; sites=5; name_score=0.904; cross_site=0.860; formula_risk=0.521,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-016-390,NameLikeBlock,016-390,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=14; sites=5; name_score=0.924; cross_site=0.838; formula_risk=0.612,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-017-585-740,NameLikeBlock,017-585-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=14; sites=4; name_score=0.927; cross_site=0.817; formula_risk=0.593,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-705-033-520,NameLikeBlock,705-033-520,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=33; sites=5; name_score=0.903; cross_site=0.814; formula_risk=0.589,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-002-003-390,NameLikeBlock,002-003-390,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=14; sites=5; name_score=0.966; cross_site=0.806; formula_risk=0.572,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-706-033-520,NameLikeBlock,706-033-520,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=16; sites=3; name_score=0.943; cross_site=0.805; formula_risk=0.598,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-817-002-235,NameLikeBlock,817-002-235,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=9; sites=3; name_score=0.919; cross_site=0.797; formula_risk=0.546,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-740-679,NameLikeBlock,740-679,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=10; sites=2; name_score=0.966; cross_site=0.738; formula_risk=0.557,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-772-740,NameLikeBlock,772-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=8; sites=2; name_score=0.946; cross_site=0.731; formula_risk=0.544,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-861-002-235,NameLikeBlock,861-002-235,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=12; sites=3; name_score=0.912; cross_site=0.723; formula_risk=0.554,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-460-740,NameLikeBlock,460-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=10; sites=2; name_score=0.946; cross_site=0.721; formula_risk=0.557,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-817-002-503,NameLikeBlock,817-002-503,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=5; sites=2; name_score=0.909; cross_site=0.718; formula_risk=0.514,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-440-760-740,NameLikeBlock,440-760-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=6; sites=2; name_score=0.907; cross_site=0.718; formula_risk=0.548,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-061-151,NameLikeBlock,061-151,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=5; sites=2; name_score=0.900; cross_site=0.715; formula_risk=0.609,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-773-740,NameLikeBlock,773-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=9; sites=2; name_score=0.939; cross_site=0.706; formula_risk=0.568,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-005-900-740,NameLikeBlock,005-900-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=10; sites=2; name_score=0.915; cross_site=0.695; formula_risk=0.572,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-920-060-742,NameLikeBlock,920-060-742,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=9; sites=2; name_score=0.945; cross_site=0.681; formula_risk=0.546,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-002-005-390,NameLikeBlock,002-005-390,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=4; sites=1; name_score=0.912; cross_site=0.644; formula_risk=0.502,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-503-460-740,NameLikeBlock,503-460-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=4; sites=1; name_score=0.912; cross_site=0.644; formula_risk=0.539,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-510-460-740,NameLikeBlock,510-460-740,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=4; sites=1; name_score=0.912; cross_site=0.644; formula_risk=0.539,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-575-740-679,NameLikeBlock,575-740-679,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=4; sites=1; name_score=0.912; cross_site=0.644; formula_risk=0.539,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
N-817-002-048,NameLikeBlock,817-002-048,"If this is a name/title/place, its reading must survive across every listed occurrence and context.",count=12; sites=2; name_score=0.925; cross_site=0.640; formula_risk=0.575,personal name; dynastic/lineage label; title phrase; place name; repeated administrative phrase,Do not assign a phonetic value from one artifact only.
