Sign,Variable,FunctionalClass,ProtoGloss,CountInReadyTexts,RoleContexts,SemanticFrames,ReadingConstraint
240,A02,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,173,TerminalFiller:106; PrimeEntityFiller:43; InitialFiller:9,TerminalFormula:98; PrimeEntitySealFormula:33; ClassifierSlotTerminalFormula:18; PrimeEntityAdministrativeFormula:10; LowEvidenceSequence:6,must explain slot alternations without breaking frame identity
741,A03,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,128,TerminalFiller:33; InitialFiller:21,TerminalFormula:97; LowEvidenceSequence:19; ClassifierSlotTerminalFormula:6; PrimeEntitySealFormula:2; InitialClassifierFormula:2,must explain slot alternations without breaking frame identity
233,A04,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,104,TerminalFiller:40; PrimeEntityFiller:18; InitialFiller:12,TerminalFormula:58; PrimeEntitySealFormula:20; ClassifierSlotTerminalFormula:15; LowEvidenceSequence:10; InitialClassifierFormula:1,must explain slot alternations without breaking frame identity
001,A05,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,99,TerminalFiller:10; InitialFiller:3; PrimeEntityFiller:1,TerminalFormula:53; ClassifierSlotTerminalFormula:17; LowEvidenceSequence:17; PrimeEntitySealFormula:6; InitialClassifierFormula:6,must explain slot alternations without breaking frame identity
060,A06,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,87,InitialFiller:52,TerminalFormula:45; ClassifierSlotTerminalFormula:21; LowEvidenceSequence:15; InitialClassifierFormula:5; PrimeEntitySealFormula:1,must explain slot alternations without breaking frame identity
032,A07,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,74,InitialFiller:27; TerminalFiller:26; PrimeEntityFiller:11; PreTerminalFiller:1,TerminalFormula:42; PrimeEntitySealFormula:15; ClassifierSlotTerminalFormula:8; LowEvidenceSequence:6; NameLikeTerminalFormula:2,must explain slot alternations without breaking frame identity
590,A08,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,58,InitialFiller:31; PrimeEntityFiller:13; TerminalFiller:12; PreTerminalFiller:1,TerminalFormula:33; PrimeEntitySealFormula:16; ClassifierSlotTerminalFormula:5; InitialClassifierFormula:3; LowEvidenceSequence:1,must explain slot alternations without breaking frame identity
220,A09,SLOT_MODIFIER,SLOT_FINAL_MODIFIER / SLOT_INITIAL_MODIFIER,52,TerminalFiller:20; InitialFiller:13; PrimeEntityFiller:8; PreTerminalFiller:1,TerminalFormula:26; ClassifierSlotTerminalFormula:12; PrimeEntitySealFormula:10; NameLikeTerminalFormula:3; LowEvidenceSequence:1,must explain slot alternations without breaking frame identity
090,A10,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,49,TerminalFiller:38; InitialFiller:3,TerminalFormula:32; PrimeEntitySealFormula:10; ClassifierSlotTerminalFormula:5; LowEvidenceSequence:1; InitialClassifierFormula:1,must explain slot alternations without breaking frame identity
033,A11,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,48,TerminalFiller:32; InitialFiller:7; PrimeEntityFiller:4,TerminalFormula:19; ClassifierSlotTerminalFormula:15; LowEvidenceSequence:8; PrimeEntitySealFormula:5; NameLikeTerminalFormula:1,must explain slot alternations without breaking frame identity
803,A12,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,34,InitialFiller:15; TerminalFiller:12; PrimeEntityFiller:5,TerminalFormula:21; PrimeEntitySealFormula:5; ClassifierSlotTerminalFormula:5; NameLikeTerminalFormula:1; PrimeEntityAdministrativeFormula:1,must explain slot alternations without breaking frame identity
705,A13,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,31,TerminalFiller:20; InitialFiller:6; PrimeEntityFiller:2,TerminalFormula:12; ClassifierSlotTerminalFormula:10; LowEvidenceSequence:7; PrimeEntitySealFormula:2,must explain slot alternations without breaking frame identity
798,A14,SLOT_MODIFIER,SLOT_INITIAL_MODIFIER,30,TerminalFiller:13; InitialFiller:9; PrimeEntityFiller:5,TerminalFormula:17; ClassifierSlotTerminalFormula:8; PrimeEntitySealFormula:4; PrimeEntityAdministrativeFormula:1,must explain slot alternations without breaking frame identity
100,A15,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,23,TerminalFiller:15; PrimeEntityFiller:7,TerminalFormula:12; PrimeEntitySealFormula:7; ClassifierSlotTerminalFormula:3; InitialClassifierFormula:1,must explain slot alternations without breaking frame identity
760,A16,SLOT_MODIFIER,SLOT_FINAL_MODIFIER,19,TerminalFiller:10; PrimeEntityFiller:6; InitialFiller:1,TerminalFormula:9; PrimeEntitySealFormula:6; ClassifierSlotTerminalFormula:3; InitialClassifierFormula:1,must explain slot alternations without breaking frame identity
405,R01,ROOT_OR_UNRESOLVED,UNRESOLVED,43,InitialFiller:31; TerminalFiller:4; PrimeEntityFiller:4; PreTerminalFiller:1,TerminalFormula:31; PrimeEntitySealFormula:7; LowEvidenceSequence:3; ClassifierSlotTerminalFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
176,R02,ROOT_OR_UNRESOLVED,UNRESOLVED,33,TerminalFiller:23; PrimeEntityFiller:7; InitialFiller:2,TerminalFormula:23; PrimeEntitySealFormula:7; ClassifierSlotTerminalFormula:3,must be tested as a possible lexical root or unresolved sign
501,R03,ROOT_OR_UNRESOLVED,UNRESOLVED,29,InitialFiller:29,TerminalFormula:29,must be tested as a possible lexical root or unresolved sign
368,R04,ROOT_OR_UNRESOLVED,UNRESOLVED,22,InitialFiller:14; TerminalFiller:5,TerminalFormula:6; ClassifierSlotTerminalFormula:5; InitialClassifierFormula:4; PrimeEntitySealFormula:3; LowEvidenceSequence:3,must be tested as a possible lexical root or unresolved sign
125,R05,ROOT_OR_UNRESOLVED,UNRESOLVED,17,InitialFiller:10; TerminalFiller:3; PrimeEntityFiller:1,TerminalFormula:9; ClassifierSlotTerminalFormula:3; PrimeEntitySealFormula:3; LowEvidenceSequence:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
900,R06,ROOT_OR_UNRESOLVED,UNRESOLVED,17,InitialFiller:9; TerminalFiller:5; PrimeEntityFiller:2,TerminalFormula:9; PrimeEntitySealFormula:4; LowEvidenceSequence:2; ClassifierSlotTerminalFormula:2,must be tested as a possible lexical root or unresolved sign
255,R07,ROOT_OR_UNRESOLVED,UNRESOLVED,16,TerminalFiller:6; InitialFiller:4; PreTerminalFiller:3; PrimeEntityFiller:2,TerminalFormula:11; PrimeEntitySealFormula:3; InitialClassifierFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
690,R08,ROOT_OR_UNRESOLVED,UNRESOLVED,15,TerminalFiller:5; InitialFiller:4; PreTerminalFiller:3,TerminalFormula:11; PrimeEntitySealFormula:2; ClassifierSlotTerminalFormula:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
706,R09,ROOT_OR_UNRESOLVED,UNRESOLVED,15,TerminalFiller:9; InitialFiller:3; PrimeEntityFiller:1,TerminalFormula:7; ClassifierSlotTerminalFormula:5; InitialClassifierFormula:1; PrimeEntitySealFormula:1; NameLikeTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
840,R10,ROOT_OR_UNRESOLVED,UNRESOLVED,15,TerminalFiller:7; PrimeEntityFiller:3; InitialFiller:2; PreTerminalFiller:1,TerminalFormula:8; PrimeEntitySealFormula:4; ClassifierSlotTerminalFormula:2; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
350,R11,ROOT_OR_UNRESOLVED,UNRESOLVED,14,TerminalFiller:11; PrimeEntityFiller:1; InitialFiller:1,TerminalFormula:6; PrimeEntitySealFormula:3; LowEvidenceSequence:3; InitialClassifierFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
407,R12,ROOT_OR_UNRESOLVED,UNRESOLVED,14,TerminalFiller:11; InitialFiller:2,TerminalFormula:7; LowEvidenceSequence:5; PrimeEntitySealFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
415,R13,ROOT_OR_UNRESOLVED,UNRESOLVED,14,TerminalFiller:7; PrimeEntityFiller:3; InitialFiller:2,ClassifierSlotTerminalFormula:5; TerminalFormula:5; PrimeEntitySealFormula:3; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
435,R14,ROOT_OR_UNRESOLVED,UNRESOLVED,14,TerminalFiller:7; PreTerminalFiller:3; InitialFiller:3,TerminalFormula:10; LowEvidenceSequence:2; PrimeEntitySealFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
550,R15,ROOT_OR_UNRESOLVED,UNRESOLVED,14,TerminalFiller:7; InitialFiller:4,TerminalFormula:6; ClassifierSlotTerminalFormula:4; PrimeEntitySealFormula:2; LowEvidenceSequence:2,must be tested as a possible lexical root or unresolved sign
482,R16,ROOT_OR_UNRESOLVED,UNRESOLVED,13,PrimeEntityFiller:8; TerminalFiller:3; PreTerminalFiller:2,PrimeEntityAdministrativeFormula:7; TerminalFormula:5; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
017,R17,ROOT_OR_UNRESOLVED,UNRESOLVED,12,TerminalFiller:6; PrimeEntityFiller:5,PrimeEntitySealFormula:5; TerminalFormula:4; ClassifierSlotTerminalFormula:2; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
692,R18,ROOT_OR_UNRESOLVED,UNRESOLVED,12,InitialFiller:3; PrimeEntityFiller:1; TerminalFiller:1,TerminalFormula:7; LowEvidenceSequence:4; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
904,R19,ROOT_OR_UNRESOLVED,UNRESOLVED,12,TerminalFiller:8; PrimeEntityFiller:3; InitialFiller:1,TerminalFormula:7; PrimeEntityAdministrativeFormula:3; InitialClassifierFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
070,R20,ROOT_OR_UNRESOLVED,UNRESOLVED,11,TerminalFiller:4; PrimeEntityFiller:3; InitialFiller:2; PreTerminalFiller:1,TerminalFormula:4; PrimeEntitySealFormula:3; ClassifierSlotTerminalFormula:2; LowEvidenceSequence:1; NameLikeTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
231,R21,ROOT_OR_UNRESOLVED,UNRESOLVED,11,TerminalFiller:7; InitialFiller:2; PrimeEntityFiller:1,ClassifierSlotTerminalFormula:6; TerminalFormula:3; LowEvidenceSequence:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
575,R22,ROOT_OR_UNRESOLVED,UNRESOLVED,11,InitialFiller:7; PrimeEntityFiller:3; TerminalFiller:1,TerminalFormula:5; PrimeEntitySealFormula:4; LowEvidenceSequence:2,must be tested as a possible lexical root or unresolved sign
055,R23,ROOT_OR_UNRESOLVED,UNRESOLVED,10,TerminalFiller:5; InitialFiller:3; PrimeEntityFiller:1,TerminalFormula:6; LowEvidenceSequence:3; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
585,R24,ROOT_OR_UNRESOLVED,UNRESOLVED,10,TerminalFiller:7; PrimeEntityFiller:2,ClassifierSlotTerminalFormula:3; LowEvidenceSequence:3; PrimeEntitySealFormula:2; TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
645,R25,ROOT_OR_UNRESOLVED,UNRESOLVED,10,InitialFiller:7; TerminalFiller:3,TerminalFormula:8; InitialClassifierFormula:2,must be tested as a possible lexical root or unresolved sign
923,R26,ROOT_OR_UNRESOLVED,UNRESOLVED,10,TerminalFiller:5; PrimeEntityFiller:3; PreTerminalFiller:1; InitialFiller:1,TerminalFormula:5; PrimeEntitySealFormula:3; ClassifierSlotTerminalFormula:2,must be tested as a possible lexical root or unresolved sign
384,R27,ROOT_OR_UNRESOLVED,UNRESOLVED,9,TerminalFiller:7; PrimeEntityFiller:1; PreTerminalFiller:1,TerminalFormula:8; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
004,R28,ROOT_OR_UNRESOLVED,UNRESOLVED,8,TerminalFiller:5; InitialFiller:2,TerminalFormula:4; LowEvidenceSequence:3; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
061,R29,ROOT_OR_UNRESOLVED,UNRESOLVED,8,TerminalFiller:6; PrimeEntityFiller:1; PreTerminalFiller:1,ClassifierSlotTerminalFormula:4; PrimeEntitySealFormula:2; TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
104,R30,ROOT_OR_UNRESOLVED,UNRESOLVED,8,InitialFiller:7,TerminalFormula:7; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
222,R31,ROOT_OR_UNRESOLVED,UNRESOLVED,8,TerminalFiller:5; PrimeEntityFiller:3,TerminalFormula:4; PrimeEntitySealFormula:3; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
347,R32,ROOT_OR_UNRESOLVED,UNRESOLVED,8,InitialFiller:8,TerminalFormula:8,must be tested as a possible lexical root or unresolved sign
388,R33,ROOT_OR_UNRESOLVED,UNRESOLVED,8,TerminalFiller:5; PrimeEntityFiller:2; InitialFiller:1,TerminalFormula:4; PrimeEntitySealFormula:3; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
416,R34,ROOT_OR_UNRESOLVED,UNRESOLVED,8,TerminalFiller:7,TerminalFormula:5; PrimeEntitySealFormula:2; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
679,R35,ROOT_OR_UNRESOLVED,UNRESOLVED,8,TerminalFiller:5,PrimeEntitySealFormula:4; TerminalFormula:3; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
892,R36,ROOT_OR_UNRESOLVED,UNRESOLVED,8,InitialFiller:5; TerminalFiller:2,TerminalFormula:6; PrimeEntitySealFormula:2,must be tested as a possible lexical root or unresolved sign
320,R37,ROOT_OR_UNRESOLVED,UNRESOLVED,7,TerminalFiller:5; PrimeEntityFiller:2,TerminalFormula:5; PrimeEntitySealFormula:2,must be tested as a possible lexical root or unresolved sign
440,R38,ROOT_OR_UNRESOLVED,UNRESOLVED,7,TerminalFiller:4; InitialFiller:2; PrimeEntityFiller:1,TerminalFormula:3; ClassifierSlotTerminalFormula:2; PrimeEntitySealFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
503,R39,ROOT_OR_UNRESOLVED,UNRESOLVED,7,PrimeEntityFiller:2; TerminalFiller:2; InitialFiller:1,PrimeEntitySealFormula:5; TerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
555,R40,ROOT_OR_UNRESOLVED,UNRESOLVED,7,TerminalFiller:7,TerminalFormula:4; ClassifierSlotTerminalFormula:3,must be tested as a possible lexical root or unresolved sign
717,R41,ROOT_OR_UNRESOLVED,UNRESOLVED,7,PrimeEntityFiller:3; TerminalFiller:2; InitialFiller:1,PrimeEntitySealFormula:4; TerminalFormula:2; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
832,R42,ROOT_OR_UNRESOLVED,UNRESOLVED,7,TerminalFiller:4; PrimeEntityFiller:1,PrimeEntitySealFormula:2; InitialClassifierFormula:2; TerminalFormula:2; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
048,R43,ROOT_OR_UNRESOLVED,UNRESOLVED,6,TerminalFiller:5; PrimeEntityFiller:1,TerminalFormula:5; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
455,R44,ROOT_OR_UNRESOLVED,UNRESOLVED,6,TerminalFiller:3; InitialFiller:2,TerminalFormula:3; ClassifierSlotTerminalFormula:2; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
504,R45,ROOT_OR_UNRESOLVED,UNRESOLVED,6,TerminalFiller:5; InitialFiller:1,LowEvidenceSequence:3; InitialClassifierFormula:1; PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
595,R46,ROOT_OR_UNRESOLVED,UNRESOLVED,6,InitialFiller:4; TerminalFiller:2,TerminalFormula:2; InitialClassifierFormula:2; PrimeEntitySealFormula:1; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
621,R47,ROOT_OR_UNRESOLVED,UNRESOLVED,6,TerminalFiller:3; InitialFiller:1,TerminalFormula:4; PrimeEntitySealFormula:2,must be tested as a possible lexical root or unresolved sign
636,R48,ROOT_OR_UNRESOLVED,UNRESOLVED,6,TerminalFiller:4; PrimeEntityFiller:2,TerminalFormula:3; PrimeEntitySealFormula:2; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
005,R49,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:4,TerminalFormula:2; LowEvidenceSequence:2; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
142,R50,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:4,TerminalFormula:3; ClassifierSlotTerminalFormula:2,must be tested as a possible lexical root or unresolved sign
154,R51,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:5,TerminalFormula:4; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
250,R52,ROOT_OR_UNRESOLVED,UNRESOLVED,5,InitialFiller:4; TerminalFiller:1,TerminalFormula:3; LowEvidenceSequence:1; InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
269,R53,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:3; InitialFiller:2,TerminalFormula:2; LowEvidenceSequence:1; ClassifierSlotTerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
406,R54,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:3; PreTerminalFiller:1; InitialFiller:1,TerminalFormula:4; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
500,R55,ROOT_OR_UNRESOLVED,UNRESOLVED,5,InitialFiller:3; TerminalFiller:1,TerminalFormula:4; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
530,R56,ROOT_OR_UNRESOLVED,UNRESOLVED,5,InitialFiller:4,TerminalFormula:4; PrimeEntityAdministrativeFormula:1,must be tested as a possible lexical root or unresolved sign
617,R57,ROOT_OR_UNRESOLVED,UNRESOLVED,5,InitialFiller:2; TerminalFiller:2,TerminalFormula:3; ClassifierSlotTerminalFormula:2,must be tested as a possible lexical root or unresolved sign
632,R58,ROOT_OR_UNRESOLVED,UNRESOLVED,5,InitialFiller:5,TerminalFormula:5,must be tested as a possible lexical root or unresolved sign
752,R59,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:3; PrimeEntityFiller:1,TerminalFormula:3; ClassifierSlotTerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
773,R60,ROOT_OR_UNRESOLVED,UNRESOLVED,5,PrimeEntityFiller:4; TerminalFiller:1,PrimeEntitySealFormula:4; ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
838,R61,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:3; InitialFiller:1,TerminalFormula:3; ClassifierSlotTerminalFormula:1; NameLikeTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
845,R62,ROOT_OR_UNRESOLVED,UNRESOLVED,5,TerminalFiller:2; PrimeEntityFiller:1,PrimeEntitySealFormula:3; TerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
013,R63,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:2; PrimeEntityFiller:1,ClassifierSlotTerminalFormula:1; TerminalFormula:1; InitialClassifierFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
016,R64,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:2; InitialFiller:1; PrimeEntityFiller:1,TerminalFormula:2; ClassifierSlotTerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
091,R65,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:4,TerminalFormula:2; LowEvidenceSequence:2,must be tested as a possible lexical root or unresolved sign
165,R66,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:3,PrimeEntitySealFormula:1; TerminalFormula:1; ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
171,R67,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:4,TerminalFormula:4,must be tested as a possible lexical root or unresolved sign
175,R68,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:3; PrimeEntityFiller:1,TerminalFormula:3; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
243,R69,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:3; InitialFiller:1,TerminalFormula:2; ClassifierSlotTerminalFormula:2,must be tested as a possible lexical root or unresolved sign
297,R70,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:3,TerminalFormula:3; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
382,R71,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:3; PrimeEntityFiller:1,ClassifierSlotTerminalFormula:2; PrimeEntitySealFormula:1; TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
480,R72,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:3,InitialClassifierFormula:2; TerminalFormula:1; PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
565,R73,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:2; PrimeEntityFiller:1,PrimeEntitySealFormula:2; TerminalFormula:2,must be tested as a possible lexical root or unresolved sign
572,R74,ROOT_OR_UNRESOLVED,UNRESOLVED,4,InitialFiller:4,TerminalFormula:4,must be tested as a possible lexical root or unresolved sign
630,R75,ROOT_OR_UNRESOLVED,UNRESOLVED,4,TerminalFiller:2; InitialFiller:2,TerminalFormula:2; ClassifierSlotTerminalFormula:1; LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
